0.0,0.0,-0.18940260929274366,1.0,-0.00586080586080584,30.0,0.8087912087912059;0.0,0,-0.6357289997711142,-1.0,0.009768009768009733,30.0,0.1758241758241752
0.031241655349731445,0.031236573408174467,-0.18940260929274366,0.9995120191782166,-0.00586080586080584,30.0,0.8087912087912059;0.031241655349731445,0,-0.6357289997711142,-0.9995120191782166,0.0019536019536019467,30.0,0.24615384615384528
0.06307768821716309,0.06303586767533567,-0.18940260929274366,0.998011262154099,-0.00586080586080584,30.0,1.723076923076917;0.06307768821716309,0,-0.6357289997711142,-0.998011262154099,-0.00586080586080584,30.0,-0.8087912087912059
0.0952301025390625,0.09508623110336277,-0.18940260929274366,0.9954690395258698,0.009768009768009733,30.0,2.0747252747252674;0.0952301025390625,0,-0.6357289997711142,-0.9954690395258698,0.0019536019536019467,30.0,-0.8087912087912059
0.12716341018676758,0.1268209704911986,-0.18940260929274366,0.9919256229393767,-0.0019536019536019467,30.0,2.4263736263736178;0.12716341018676758,0,-0.6357289997711142,-0.9919256229393767,0.00586080586080584,30.0,-0.7384615384615358
0.1591322422027588,0.15846147256537324,-0.18940260929274366,0.9873651612814853,-0.0019536019536019467,30.0,2.637362637362628;0.1591322422027588,0,-0.6357289997711142,-0.9873651612814853,-0.0019536019536019467,30.0,-0.6681318681318658
0.19103169441223145,0.18987192256886284,-0.18940260929274366,0.9818088678658407,-0.013675213675213627,30.0,3.0593406593406485;0.19103169441223145,0,-0.6357289997711142,-0.9818088678658407,-0.013675213675213627,30.0,-0.7384615384615358
0.22315073013305664,0.22130332430117014,-0.18940260929274366,0.9752050239068968,0.00586080586080584,30.0,3.340659340659329;0.22315073013305664,0,-0.6357289997711142,-0.9752050239068968,0.0019536019536019467,30.0,-0.7384615384615358
0.25511908531188965,0.2523606413308916,-0.18863965819790884,0.9676332501041193,0.08009768009767981,30.0,3.551648351648339;0.25511908531188965,0,-0.6357289997711142,-0.9676332501041193,-0.00586080586080584,30.0,-0.9494505494505461
0.28669166564941406,0.2827804748752165,-0.1825360494392303,0.9591846553345956,0.26764346764346847,30.0,3.9032967032966894;0.28669166564941406,0,-0.6357289997711142,-0.9591846553345956,-0.0019536019536019467,30.0,-0.879120879120876
0.3032689094543457,0.2986415306520182,-0.17261768520637766,0.9543653578005751,0.34969474969475023,30.0,3.7626373626373493;0.3032689094543457,0,-0.6357289997711142,-0.9543653578005751,0.0019536019536019467,30.0,-0.8087912087912059
