0.0,1.0471975511965976,0.5266269932097352,0,0.00586080586080584,30.0,4.043956043956058;0.0,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.1758241758241752
0.030526399612426758,1.0471975511965976,-0.18558785381856957,0,0.685714285714285,30.0,0.7384615384615358;0.030526399612426758,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.03516483516483504
0.06081390380859375,1.0471975511965976,-0.15621423666742906,0,1.2014652014652007,30.0,9.529670329670324;0.06081390380859375,0,-0.5937666895551992,0,0.009768009768009733,30.0,-0.31648351648351536
0.08650946617126465,1.0471975511965976,-0.11577782864118369,0,1.4476190476190478,30.0,7.9824175824175825;0.08650946617126465,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.10549450549450512
0.1176764965057373,1.0471975511965976,-0.0745784695201035,0,1.7054945054945048,30.0,8.052747252747253;0.1176764965057373,0,-0.5937666895551992,0,-0.013675213675213627,30.0,-0.31648351648351536
0.14894556999206543,1.0471975511965976,-0.018883039597161755,0,1.8852258852258856,30.0,7.349450549450552;0.14894556999206543,0,-0.5937666895551992,0,-0.009768009768009733,30.0,-0.4571428571428555
0.18021321296691895,1.0471975511965976,0.04024567025253667,0,1.8774114774114778,30.0,7.419780219780222;0.18021321296691895,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.03516483516483504
0.21176862716674805,1.0471975511965976,0.10204470893415696,0,2.096214896214896,30.0,6.08351648351649;0.21176862716674805,0,-0.5937666895551992,0,0.0019536019536019467,30.0,0.31648351648351536
0.2434086799621582,1.0471975511965976,0.16918440527962098,0,2.1509157509157504,30.0,5.3802197802197895;0.2434086799621582,0,-0.5937666895551992,0,-0.00586080586080584,30.0,0.31648351648351536
0.27473974227905273,1.0471975511965976,0.23517967498283276,0,2.088400488400488,30.0,4.043956043956058;0.27473974227905273,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.03516483516483504
0.3065202236175537,1.0471975511965976,0.3004119935912115,0,2.0336996336996336,30.0,4.114285714285728;0.3065202236175537,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.31648351648351536
0.33848094940185547,1.0471975511965976,0.3656443121995885,0,2.0454212454212453,30.0,3.2703296703296587;0.33848094940185547,0,-0.5937666895551992,0,-0.021489621489621413,30.0,-0.03516483516483504
0.3706638813018799,1.0471975511965976,0.43087663080796546,0,2.096214896214896,30.0,3.340659340659329;0.3706638813018799,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.1758241758241752
0.4020261764526367,1.0471975511965976,0.49725337605859465,0,1.9868131868131869,30.0,2.2153846153846075;0.4020261764526367,0,-0.5937666895551992,0,0.009768009768009733,30.0,-0.4571428571428555
0.4341549873352051,1.0471975511965976,0.5571450370031279,0,1.8578754578754584,30.0,2.567032967032958;0.4341549873352051,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.31648351648351536
0.4656956195831299,1.0471975511965976,0.6139848935683219,0,1.662515262515262,30.0,1.793406593406587;0.4656956195831299,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.03516483516483504
0.49780917167663574,1.0471975511965976,0.6639581902800025,0,1.4905982905982906,30.0,1.5120879120879067;0.49780917167663574,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.38681318681318544
0.5292263031005859,1.0471975511965976,0.7082093537804219,0,1.2639804639804648,30.0,1.4417582417582366;0.5292263031005859,0,-0.5937666895551992,0,-0.00586080586080584,30.0,0.03516483516483504
0.5604526996612549,1.0471975511965976,0.7444495307850758,0,1.006105006105006,30.0,1.0197802197802162;0.5604526996612549,0,-0.5937666895551992,0,-0.009768009768009733,30.0,-0.5274725274725256
0.5918629169464111,1.0471975511965976,0.771915770199131,0,0.7873015873015881,30.0,0.9494505494505461;0.5918629169464111,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.4571428571428555
0.6237354278564453,1.0471975511965976,0.7917524986648363,0,0.4825396825396826,30.0,1.3010989010988965;0.6237354278564453,0,-0.5937666895551992,0,-0.01758241758241752,30.0,-0.03516483516483504
0.6554064750671387,1.0471975511965976,0.8024338139925238,0,0.2090354090354083,30.0,1.3010989010988965;0.6554064750671387,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.10549450549450512
0.6871292591094971,1.0471975511965976,0.8051041428244456,0,-0.0293040293040292,30.0,1.5120879120879067;0.6871292591094971,0,-0.5937666895551992,0,0.00586080586080584,30.0,0.10549450549450512
0.719125509262085,1.0471975511965976,0.8051041428244456,0,-0.00586080586080584,30.0,1.3714285714285666;0.719125509262085,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.10549450549450512
0.7507345676422119,1.0471975511965976,0.8043411917296108,0,-0.09572649572649539,30.0,1.723076923076917;0.7507345676422119,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.38681318681318544
0.7868924140930176,1.0471975511965976,0.7993820096131845,0,-0.15824175824175857,30.0,1.2307692307692264;0.7868924140930176,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.1758241758241752
0.8180468082427979,1.0471975511965976,0.7921339742122537,0,-0.28327228327228315,30.0,1.6527472527472469;0.8180468082427979,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.10549450549450512
0.849524736404419,1.0471975511965976,0.7818341344319837,0,-0.3301587301587299,30.0,1.5824175824175768;0.849524736404419,0,-0.5937666895551992,0,-0.009768009768009733,30.0,0.03516483516483504
0.8817014694213867,1.0471975511965976,0.7715342946517136,0,-0.3731379731379727,30.0,2.2857142857142776;0.8817014694213867,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.5274725274725256
0.9134490489959717,1.0471975511965976,0.7566567483024347,0,-0.505982905982906,30.0,2.3560439560439477;0.9134490489959717,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.31648351648351536
0.9447927474975586,1.0471975511965976,0.7410162508583191,0,-0.4981684981684982,30.0,3.0593406593406485;0.9447927474975586,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.03516483516483504
0.9765784740447998,1.0471975511965976,0.7242313267719531,0,-0.5645909645909644,30.0,2.567032967032958;0.9765784740447998,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.31648351648351536
1.0079352855682373,1.0471975511965976,0.7070649271381697,0,-0.576312576312576,30.0,2.9186813186813083;1.0079352855682373,0,-0.5937666895551992,0,-0.013675213675213627,30.0,-0.10549450549450512
1.0391902923583984,1.0471975511965976,0.6883726253147167,0,-0.6231990231990228,30.0,2.8483516483516382;1.0391902923583984,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.24615384615384528
1.0706043243408203,1.0471975511965976,0.6692988479438462,0,-0.5880341880341877,30.0,3.9032967032966894;1.0706043243408203,0,-0.5937666895551992,0,-0.013675213675213627,30.0,-0.4571428571428555
1.1023714542388916,1.0471975511965976,0.6509880216678106,0,-0.576312576312576,30.0,3.410989010988999;1.1023714542388916,0,-0.5937666895551992,0,-0.00586080586080584,30.0,0.03516483516483504
1.1341161727905273,1.0471975511965976,0.6330586709391923,0,-0.5450549450549449,30.0,4.254945054945068;1.1341161727905273,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.10549450549450512
1.165830373764038,1.0471975511965976,0.6151293202105741,0,-0.576312576312576,30.0,3.551648351648339;1.165830373764038,0,-0.5937666895551992,0,0.0019536019536019467,30.0,0.10549450549450512
1.1978511810302734,1.0471975511965976,0.5975814450293733,0,-0.5216117216117215,30.0,4.4659340659340785;1.1978511810302734,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.1758241758241752
1.2302987575531006,1.0471975511965976,0.5819409475852595,0,-0.4747252747252748,30.0,3.1999999999999886;1.2302987575531006,0,-0.5937666895551992,0,-0.009768009768009733,30.0,-0.24615384615384528
1.2624213695526123,1.0471975511965976,0.5678263523308154,0,-0.39658119658119695,30.0,3.8329670329670193;1.2624213695526123,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.03516483516483504
1.2939727306365967,1.0471975511965976,0.5552376592660409,0,-0.3692307692307688,30.0,3.7626373626373493;1.2939727306365967,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.1758241758241752
1.3256494998931885,1.0471975511965976,0.5445563439383534,0,-0.29499389499389483,30.0,3.9032967032966894;1.3256494998931885,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.10549450549450512
1.3571465015411377,1.0471975511965976,0.5361638818951704,0,-0.22857142857142865,30.0,4.747252747252759;1.3571465015411377,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.10549450549450512
1.3884031772613525,1.0471975511965976,0.5304417486839093,0,-0.15433455433455467,30.0,3.9032967032966894;1.3884031772613525,0,-0.5937666895551992,0,0.00586080586080584,30.0,-0.4571428571428555
1.4200527667999268,1.0471975511965976,0.5258640421149003,0,-0.12307692307692264,30.0,3.9736263736263595;1.4200527667999268,0,-0.5937666895551992,0,0.0019536019536019467,30.0,0.10549450549450512
1.451324701309204,1.0471975511965976,0.5231937132829785,0,-0.060561660561660347,30.0,4.254945054945068;1.451324701309204,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.1758241758241752
1.483076810836792,1.0471975511965976,0.5224307621881437,0,0.013675213675213627,30.0,4.184615384615398;1.483076810836792,0,-0.5937666895551992,0,0.00586080586080584,30.0,-0.31648351648351536
1.5149531364440918,1.0471975511965976,0.5224307621881437,0,0.009768009768009733,30.0,4.184615384615398;1.5149531364440918,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.1758241758241752
1.5470449924468994,1.0471975511965976,0.5224307621881437,0,0.0019536019536019467,30.0,4.184615384615398;1.5470449924468994,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.03516483516483504
1.578277587890625,1.0471975511965976,0.5224307621881437,0,0.0019536019536019467,30.0,4.114285714285728;1.578277587890625,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.5978021978021957
1.6108715534210205,1.0471975511965976,0.5224307621881437,0,0.009768009768009733,30.0,4.184615384615398;1.6108715534210205,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.31648351648351536
1.6428196430206299,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,3.9736263736263595;1.6428196430206299,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.10549450549450512
1.6744656562805176,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.114285714285728;1.6744656562805176,0,-0.5937666895551992,0,0.00586080586080584,30.0,-0.5274725274725256
1.706080675125122,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.043956043956058;1.706080675125122,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.03516483516483504
1.7377240657806396,1.0471975511965976,0.5224307621881437,0,0.00586080586080584,30.0,4.043956043956058;1.7377240657806396,0,-0.5937666895551992,0,0.00586080586080584,30.0,-0.4571428571428555
1.769813060760498,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.114285714285728;1.769813060760498,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.24615384615384528
1.8017065525054932,1.0471975511965976,0.5224307621881437,0,-0.009768009768009733,30.0,3.9736263736263595;1.8017065525054932,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.24615384615384528
1.8338863849639893,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.043956043956058;1.8338863849639893,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.10549450549450512
1.8650562763214111,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.184615384615398;1.8650562763214111,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.31648351648351536
1.8965270519256592,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.114285714285728;1.8965270519256592,0,-0.5937666895551992,0,0.009768009768009733,30.0,-0.4571428571428555
1.9334237575531006,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.114285714285728;1.9334237575531006,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.10549450549450512
1.965160846710205,1.0471975511965976,0.5224307621881437,0,-0.009768009768009733,30.0,4.184615384615398;1.965160846710205,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.4571428571428555
1.996891736984253,1.0471975511965976,0.5224307621881437,0,0.009768009768009733,30.0,4.184615384615398;1.996891736984253,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.38681318681318544
2.0288209915161133,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.114285714285728;2.0288209915161133,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.4571428571428555
2.0601646900177,1.0471975511965976,0.5224307621881437,0,0.0019536019536019467,30.0,4.184615384615398;2.0601646900177,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.4571428571428555
2.0917959213256836,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,3.9736263736263595;2.0917959213256836,0,-0.5937666895551992,0,-0.009768009768009733,30.0,-0.24615384615384528
2.124164581298828,1.0471975511965976,0.5224307621881437,0,0.00586080586080584,30.0,4.114285714285728;2.124164581298828,0,-0.5937666895551992,0,-0.00586080586080584,30.0,0.10549450549450512
2.156339406967163,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,3.9032967032966894;2.156339406967163,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,0.03516483516483504
2.1877903938293457,1.0471975511965976,0.5224307621881437,0,-0.00586080586080584,30.0,4.114285714285728;2.1877903938293457,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.03516483516483504
2.2194557189941406,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.184615384615398;2.2194557189941406,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.10549450549450512
2.2509593963623047,1.0471975511965976,0.5224307621881437,0,-0.0019536019536019467,30.0,4.184615384615398;2.2509593963623047,0,-0.5937666895551992,0,-0.013675213675213627,30.0,-0.31648351648351536
