0.0,1.0471975511965976,0.5224307621881437,0,-0.013675213675213627,30.0,4.114285714285728;0.0,0,-0.5937666895551992,0,0.009768009768009733,30.0,-0.03516483516483504
0.030342817306518555,1.0471975511965976,-0.17528801403829952,0,0.65054945054945,30.0,0.6681318681318658;0.030342817306518555,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.4571428571428555
0.060692548751831055,1.0471975511965976,-0.14820325017166347,0,1.1741147741147735,30.0,8.967032967032964;0.060692548751831055,0,-0.5937666895551992,0,0.00586080586080584,30.0,-0.03516483516483504
0.09207391738891602,1.0471975511965976,-0.10891126878767032,0,1.4085470085470089,30.0,8.334065934065933;0.09207391738891602,0,-0.5937666895551992,0,0.0019536019536019467,30.0,0.03516483516483504
0.1233527660369873,1.0471975511965976,-0.05893797207598972,0,1.693772893772893,30.0,7.630769230769232;0.1233527660369873,0,-0.5937666895551992,0,-0.021489621489621413,30.0,0.24615384615384528
0.15322208404541016,1.0471975511965976,-0.0036240177004653873,0,1.8656898656898662,30.0,7.771428571428572;0.15322208404541016,0,-0.5937666895551992,0,-0.009768009768009733,30.0,-0.24615384615384528
0.17159271240234375,1.0471975511965976,0.052071412222476354,0,1.8774114774114778,30.0,6.927472527472531;0.17159271240234375,0,-0.5937666895551992,0,0.0019536019536019467,30.0,-0.1758241758241752
0.20337939262390137,1.0471975511965976,0.08793011367971282,0,2.018070818070818,30.0,5.87252747252748;0.20337939262390137,0,-0.5937666895551992,0,-0.0019536019536019467,30.0,-0.5274725274725256
0.23473358154296875,1.0471975511965976,0.15430685893034202,0,2.123565323565323,30.0,5.94285714285715;0.23473358154296875,0,-0.5937666895551992,0,0.00586080586080584,30.0,-0.10549450549450512
0.2662334442138672,1.0471975511965976,0.2199206530861364,0,2.018070818070818,30.0,5.45054945054946;0.2662334442138672,0,-0.5937666895551992,0,0.013675213675213627,30.0,-0.03516483516483504
0.2975461483001709,1.0471975511965976,0.28553444724193255,0,2.0766788766788764,30.0,4.536263736263749;0.2975461483001709,0,-0.5937666895551992,0,-0.00586080586080584,30.0,-0.24615384615384528
0.32902026176452637,1.0471975511965976,0.3488593881132225,0,2.025885225885226,30.0,4.114285714285728;0.32902026176452637,0,-0.5937666895551992,0,0.01758241758241752,30.0,-0.38681318681318544
