0.0,0.4399905,-0.055886167696650446,-0.31864499999999996,-0.00586080586080584,30.0,-0.38681318681318544;0.0,-0.3208,-0.5857557030594336,-0.5859865799999998,0.0019536019536019467,30.0,0.31648351648351536
0.03168535232543945,0.4298606375065963,-0.055886167696650446,-0.3135045100929127,-0.013675213675213627,30.0,-0.5274725274725256;0.03168535232543945,-0.35806965140870906,-0.5857557030594336,-0.6745137849288926,-0.013675213675213627,30.0,-0.4571428571428555
0.06329560279846191,0.42050804095677047,-0.0539787899595634,-0.27421841498194566,0.1426129426129421,30.0,3.410989010988999;0.06329560279846191,-0.4006979138796741,-0.5922407873655295,-0.7724107881314936,-0.4200244200244203,30.0,-7.771428571428572
0.09531259536743164,0.4125721461124627,-0.046730754558632626,-0.22118634018879346,0.27936507936508015,30.0,2.496703296703288;0.09531259536743164,-0.4486813604420007,-0.6124589913786522,-0.8625234577365328,-0.8459096459096456,30.0,-7.1384615384615415
0.1266312599182129,0.40637635619354057,-0.03566796368352776,-0.17731909242000923,0.39267399267399306,30.0,2.4263736263736178;0.1266312599182129,-0.4993289429450798,-0.6456473640039668,-0.9382279879639626,-1.228815628815629,30.0,-6.927472527472531
0.1578826904296875,0.401227949373631,-0.02193484397650103,-0.15693248886052774,0.4903540903540904,30.0,2.637362637362628;0.1578826904296875,-0.5523541727477265,-0.6910429541466385,-1.0097351189969934,-1.623443223443223,30.0,-6.857142857142861
0.18878674507141113,0.3963040210748416,-0.005149919890135024,-0.16683523894844185,0.5567765567765566,30.0,1.8637362637362571;0.18878674507141113,-0.6059181403174689,-0.7478828107118325,-1.0866552925726758,-2.014163614163614,30.0,-6.15384615384616
0.22020554542541504,0.3905145304777591,0.012779430838483208,-0.2060646026935548,0.5997557997557994,30.0,1.723076923076917;0.22020554542541504,-0.6600459466030854,-0.8154039826047157,-1.1725600465651886,-2.342368742368742,30.0,-6.646153846153851
0.2519369125366211,0.38305218471203634,0.032234683756771076,-0.2668337363828749,0.615384615384615,30.0,1.0901098901098862;0.2519369125366211,-0.7127638236660861,-0.8943694209201194,-1.2519997785416486,-2.592429792429792,30.0,-6.575824175824181
0.28347086906433105,0.37355456756665556,0.05245288776989376,-0.33591455132324227,0.6622710622710617,30.0,0.31648351648351536;0.28347086906433105,-0.7615598827583581,-0.9790569924467842,-1.2926054307756984,-2.7604395604395604,30.0,-6.294505494505501
0.3152496814727783,0.36180439994433666,0.07343404287785127,-0.40216659923892223,0.6583638583638578,30.0,1.1604395604395563;0.3152496814727783,-0.8054549966377198,-1.0687037460898754,-1.2564921098708544,-2.85030525030525,30.0,-7.490109890109892
0.34644079208374023,0.34838892116934017,0.09403372243839137,-0.4557450653140849,0.65054945054945,30.0,0.9494505494505461;0.34644079208374023,-0.8418523099922947,-1.1579690241855491,-1.1147930295705601,-2.8581196581196577,30.0,-4.536263736263749
0.37783002853393555,0.33342614640082524,0.11577782864118369,-0.49524378708679473,0.7677655677655686,30.0,-0.10549450549450512;0.37783002853393555,-0.870393250214851,-1.2453269245441358,-0.8520979305055789,-2.811233211233211,30.0,-2.4263736263736178
0.4096367359161377,0.31721281354948627,0.13904783703364565,-0.5224686249306585,0.6778998778998773,30.0,-0.879120879120876;0.4096367359161377,-0.8897888451105713,-1.3338292515449766,-0.47113653937692723,-2.7565323565323565,30.0,-2.9890109890109784
0.44105029106140137,0.30048543083502915,0.15926604104676834,-0.5417332856180586,0.5958485958485955,30.0,-1.0197802197802162;0.44105029106140137,-0.8985249093835989,-1.4192797741664762,-0.008231392500987589,-2.662759462759463,30.0,-3.1999999999999886
0.4728116989135742,0.2830034714925869,0.17605096513313434,-0.5591602657035509,0.4864468864468865,30.0,-0.879120879120876;0.4728116989135742,-0.8960786345259535,-1.502059967956054,0.510114797572695,-2.5416361416361415,30.0,-1.0197802197802162
0.504596471786499,0.2649315582237536,0.1905470359349959,-0.5784737462662367,0.4122100122100125,30.0,-0.4571428571428555;0.504596471786499,-0.8818262974138071,-1.579499504081788,1.0419441781572085,-2.35018315018315,30.0,0.4571428571428555
0.5365500450134277,0.24609742944713783,0.2031357289997704,-0.6007702653776719,0.34188034188034244,30.0,-0.6681318681318658;0.5365500450134277,-0.8554703344766916,-1.6519798580910958,1.558800048216187,-2.1821733821733824,30.0,0.6681318681318658
0.5681154727935791,0.22676825860696742,0.2122911421377882,-0.6238660711670938,0.21294261294261219,30.0,-1.3010989010988965;0.5681154727935791,-0.8178072416686502,-1.7160677500572206,2.030562589704979,-1.8930402930402934,30.0,1.793406593406587
0.5996694564819336,0.2067412941165016,0.21648737315937971,-0.6449106320453535,0.06837606837606813,30.0,-1.5120879120879067;0.5996694564819336,-0.7691514559886344,-1.7710002288853293,2.45026233502174,-1.5296703296703296,30.0,4.043956043956058
0.6310546398162842,0.186230961632662,0.21725032425421453,-0.6611856209572811,0.009768009768009733,30.0,-1.793406593406587;0.6310546398162842,-0.7106897737909506,-1.8121995880064095,2.8087177159038257,-1.1037851037851034,30.0,4.747252747252759
0.6629188060760498,0.16497463766595072,0.21725032425421453,-0.672108656002484,-0.00586080586080584,30.0,-1.9340659340659272;0.6629188060760498,-0.6422337459350891,-1.838902876325628,3.109804308130004,-0.6114774114774111,30.0,5.94285714285715
0.6946890354156494,0.14350840697336795,0.21725032425421453,-0.6787273881882783,-0.013675213675213627,30.0,-1.8637362637362571;0.6946890354156494,-0.5662899835027375,-1.8488212405584807,3.3500892274863228,-0.03711843711843699,30.0,6.2241758241758305
0.7260069847106934,0.12217437691565709,0.21457999542229267,-0.683634004443264,-0.11526251526251485,30.0,-2.0043956043955973;0.7260069847106934,-0.4855382023501163,-1.8430991073472196,3.536990056878091,0.3692307692307697,30.0,7.630769230769232
0.7574982643127441,0.10056418195996204,0.20962081330586635,-0.6889458916239701,-0.1973137973137975,30.0,-2.4263736263736178;0.7574982643127441,-0.40023468398186296,-1.8240253299763491,3.6856993399440587,0.791208791208792,30.0,7.630769230769232
0.791327714920044,0.07715906341997192,0.20237277790493557,-0.6944558432729374,-0.27545787545787537,30.0,-2.2857142857142776;0.791327714920044,-0.3061883340841768,-1.78854810406653,3.8080130956174414,1.2835164835164843,30.0,7.068131868131871
0.8228447437286377,0.05524389430931423,0.19169146257724812,-0.6948975190279774,-0.34578754578754545,30.0,-2.0747252747252674;0.8228447437286377,-0.2184178553751932,-1.7393377584496825,3.8780046554976346,1.795360195360196,30.0,6.927472527472531
0.8541526794433594,0.03362820043105677,0.17910276951247361,-0.6832023238690235,-0.44737484737484756,30.0,-1.4417582417582366;0.8541526794433594,-0.13307323670070023,-1.6756313420309752,3.877183703854043,2.2837606837606845,30.0,8.615384615384613
0.8858494758605957,0.01242843159061561,0.16422522316319466,-0.6502350288759738,-0.5216117216117215,30.0,-2.9186813186813083;0.8858494758605957,-0.050448352512897976,-1.5959029526207367,3.76049478027446,2.7330891330891323,30.0,7.068131868131871
0.9175760746002197,-0.007312405534512574,0.14667734798199383,-0.5892145067668026,-0.5645909645909644,30.0,-2.637362637362628;0.9175760746002197,0.026645124266518466,-1.5051117723353933,3.479729002865442,2.983150183150183,30.0,8.334065934065933
0.9485180377960205,-0.024255555526266397,0.12798504615854078,-0.5016106022785798,-0.6036630036630033,30.0,-1.2307692307692264;0.9485180377960205,0.09486997771783716,-1.4055466544594495,3.019841608148185,3.178510378510378,30.0,7.208791208791212
0.9806101322174072,-0.03858021997456783,0.11081864652475737,-0.38834842712105233,-0.5098901098901099,30.0,-1.9340659340659272;0.9806101322174072,0.15696610716163195,-1.3052185854886709,2.35723166532689,3.2214896214896207,30.0,3.692307692307679
1.0118741989135742,-0.048877520709907585,0.09327077134355655,-0.2707619121735162,-0.576312576312576,30.0,-2.0043956043955973;1.0118741989135742,0.2078712724494231,-1.2022201876859686,1.5841951016515514,3.2293040293040285,30.0,4.4659340659340785
1.043527603149414,-0.0557078763795043,0.0745784695201035,-0.16483088275894278,-0.6231990231990228,30.0,-2.3560439560439477;1.043527603149414,0.2489453971972802,-1.1007476920729378,0.7680407681500622,3.244932844932844,30.0,4.606593406593419
1.0747828483581543,-0.05963892357061479,0.05550469214923304,-0.09379973341059082,-0.5919413919413916,30.0,-1.793406593406587;1.0747828483581543,0.27867375346754536,-0.9988937209124895,0.03865654648953161,3.2214896214896207,30.0,5.52087912087913
1.1064214706420898,-0.06210870295767454,0.037956816968032214,-0.07141725182956998,-0.5294261294261293,30.0,-2.0747252747252674;1.1064214706420898,0.29762466390934855,-0.8989471274891283,-0.5251637843387371,3.217582417582417,30.0,2.1450549450549374
1.1376729011535645,-0.06469726743455437,0.02155336842908362,-0.10275809487299659,-0.5020757020757021,30.0,-1.5824175824175768;1.1376729011535645,0.3054746039128684,-0.7993820096131845,-0.8564716139644728,3.1238095238095234,30.0,4.043956043956058
1.1689248085021973,-0.0689919428763778,0.005912870984969842,-0.17783391298422885,-0.4864468864468865,30.0,-1.0901098901098862;1.1689248085021973,0.30295846276893634,-0.703631647211413,-0.9675323253745138,2.920634920634921,30.0,0.6681318681318658
1.2005650997161865,-0.07613809890169934,-0.008583199816891707,-0.2747852542980574,-0.431746031746032,30.0,-1.3714285714285666;1.2005650997161865,0.29058044920034576,-0.6158922713054089,-0.9141434323574307,2.697924297924297,30.0,0.31648351648351536
1.2323887348175049,-0.08631116185380935,-0.02155336842908362,-0.35919185582997926,-0.38485958485958527,30.0,-1.3010989010988965;1.2323887348175049,0.2691578080211166,-0.5342565041580833,-0.7860419579163459,2.486935286935287,30.0,-0.38681318681318544
1.2637839317321777,-0.09829094423951432,-0.03185320820935367,-0.39289826699704156,-0.3184371184371182,30.0,-2.0043956043955973;1.2637839317321777,0.2404098737910438,-0.45910582131685373,-0.6821187587643598,2.3189255189255196,30.0,-1.0901098901098862
1.2957241535186768,-0.11033086419144002,-0.04100862134737149,-0.3452611947895241,-0.252014652014652,30.0,-2.2153846153846075;1.2957241535186768,0.20480710852596856,-0.38891432059205044,-0.6710576291925385,2.1196581196581192,30.0,-2.0043956043955973
1.3272135257720947,-0.11918716453902492,-0.04787518120088485,-0.2006610857006999,-0.21684981684981697,30.0,-1.723076923076917;1.3272135257720947,0.16493063028159624,-0.32330052643625606,-0.7820514846976256,1.9360195360195362,30.0,-2.3560439560439477
1.3584599494934082,-0.12197956251426638,-0.05359731441214599,0.036154358211096,-0.1387057387057391,30.0,-2.1450549450549374;1.3584599494934082,0.12220311402277872,-0.2664606698710621,-0.9979349450257071,1.693772893772893,30.0,-1.6527472527472469
1.3899972438812256,-0.11608099469076145,-0.055886167696650446,0.3471849983158974,-0.04102564102564088,30.0,-1.8637362637362571;1.3899972438812256,0.07742935099796114,-0.21877622644388417,-1.2792346101362388,1.3890109890109894,30.0,-2.9890109890109784
1.4215826988220215,-0.09968506567408626,-0.05741206988632008,0.6929655359785204,-0.013675213675213627,30.0,-1.793406593406587;1.4215826988220215,0.03243040094860414,-0.18101014724956066,-1.5702750685503784,1.0217338217338217,30.0,-4.043956043956058
1.4527466297149658,-0.07286464872442719,-0.05741206988632008,1.0225812143262238,0.00586080586080584,30.0,-1.0197802197802162;1.4527466297149658,-0.010750146661366006,-0.15545128557259424,-1.8190874844470208,0.6114774114774111,30.0,-4.747252747252759
1.4843685626983643,-0.03592202296854419,-0.05741206988632008,1.3014014639061464,0.00586080586080584,30.0,-0.8087912087912059;1.4843685626983643,-0.052085883306997344,-0.14362554360265456,-2.000281457168765,0.1543345543345538,30.0,-4.887912087912099
1.5162904262542725,0.00894501473890896,-0.05741206988632008,1.4926441873905456,0.013675213675213627,30.0,-0.03516483516483504;1.5162904262542725,-0.09020412148057569,-0.1455329213397416,-2.0955482419628195,-0.24029304029304033,30.0,-4.817582417582429
1.5475201606750488,0.057147682567252514,-0.05741206988632008,1.5772681617794435,-0.0019536019536019467,30.0,0.1758241758241752;1.5475201606750488,-0.12316474670357427,-0.15850308995193352,-2.1036613489876435,-0.5684981684981683,30.0,-6.2241758241758305
1.5793147087097168,0.10733414403360729,-0.05741206988632008,1.5644294150480333,-0.0019536019536019467,30.0,1.0197802197802162;1.5793147087097168,-0.15174069808707946,-0.1825360494392303,-2.035938529473563,-0.9162393162393165,30.0,-6.15384615384616
1.6113243103027344,0.15612127048986402,-0.05741206988632008,1.4733930786643519,-0.0019536019536019467,30.0,1.4417582417582366;1.6113243103027344,-0.17511918947983,-0.21763179980163194,-1.9084159489457897,-1.2796092796092795,30.0,-5.87252747252748
1.6424579620361328,0.20000737564766227,-0.05741206988632008,1.3415115414631957,0.025396825396825307,30.0,2.1450549450549374;1.6424579620361328,-0.19263680037072614,-0.26379034103914023,-1.750264648761987,-1.6351648351648356,30.0,-7.630769230769232
1.674058198928833,0.24010716754951375,-0.052071412222476354,1.1971575191507116,0.23247863247863165,30.0,1.9340659340659272;1.674058198928833,-0.20538603165379343,-0.3198672465094994,-1.5822387532004398,-1.9672771672771674,30.0,-6.294505494505501
1.7064838409423828,0.27671619081223126,-0.042534523537041125,1.0652340020411974,0.3614163614163619,30.0,1.8637362637362571;1.7064838409423828,-0.21371037835059362,-0.38929579613946785,-1.4297092285520923,-2.2798534798534797,30.0,-6.15384615384616
1.7373976707458496,0.3080610421943041,-0.029182879377431803,0.9674858976107905,0.4356532356532359,30.0,1.6527472527472469;1.7373976707458496,-0.21786102121130327,-0.4652094300755323,-1.3220594477170065,-2.5455433455433454,30.0,-5.73186813186814
1.769103765487671,0.3375116865861386,-0.014305333028152845,0.893887435807047,0.5294261294261293,30.0,2.9186813186813083;1.769103765487671,-0.21918303129398348,-0.5464637216754404,-1.255313690501396,-2.627594627594628,30.0,-2.2857142857142776
1.8008933067321777,0.3649553671524907,0.004386968795300206,0.8333031292896018,0.615384615384615,30.0,2.2857142857142776;1.8008933067321777,-0.2185877151653886,-0.6311512932021053,-1.221107152698943,-2.6901098901098903,30.0,-2.3560439560439477
1.832136631011963,0.39000044469775047,0.02574959945067512,0.7671925551697796,0.7013431013431006,30.0,2.8483516483516382;1.832136631011963,-0.21726876834087638,-0.7162203402761875,-1.194901658442252,-2.694017094017094,30.0,-1.3714285714285666
1.8633677959442139,0.4126297723159812,0.04863813229571967,0.6767415487178813,0.7599511599511608,30.0,2.4263736263736178;1.8633677959442139,-0.21639576612976877,-0.8001449607080193,-1.1485000854280756,-2.658852258852259,30.0,-2.0747252747252674
1.894864559173584,0.4320538965629256,0.07305256733043386,0.5505164698754668,0.8185592185592192,30.0,1.9340659340659272;1.894864559173584,-0.21714668926258618,-0.8825436789501797,-1.0622330312295132,-2.592429792429792,30.0,-0.6681318681318658
1.9263498783111572,0.4469422947729629,0.0993743801022351,0.3902809263652338,0.8498168498168504,30.0,0.6681318681318658;1.9263498783111572,-0.22066681245367667,-0.9649423971923401,-0.9354836529353903,-2.557264957264957,30.0,-3.9032967032966894
1.9573891162872314,0.45630978286205126,0.12645914396887115,0.211365529850785,0.8576312576312581,30.0,2.0043956043955973;1.9573891162872314,-0.2278500762508807,-1.0427634088654916,-0.789624804209099,-2.4673992673992675,30.0,-1.5120879120879067
1.9894959926605225,0.46008738989018116,0.15049210345616792,0.025947895974296413,0.7052503052503045,30.0,0.9494505494505461;1.9894959926605225,-0.24005629355125133,-1.1194399938963908,-0.6501922089632907,-2.3697191697191693,30.0,-0.7384615384615358
2.0210776329040527,0.45830808120457817,0.17299916075379507,-0.13284649402119544,0.7091575091575084,30.0,1.4417582417582366;2.0210776329040527,-0.2574932998840247,-1.1934462500953682,-0.5576031854358264,-2.264224664224664,30.0,0.31648351648351536
2.0520055294036865,0.4523167876782605,0.19436179140916998,-0.24653049635709254,0.6700854700854695,30.0,0.6681318681318658;2.0520055294036865,-0.2802308706573834,-1.2613488975356688,-0.5290090694021151,-2.1431013431013435,30.0,1.3010989010988965
2.08363938331604,0.4433744907040614,0.21419851987487526,-0.30959561059790663,0.6271062271062267,30.0,0.9494505494505461;2.08363938331604,-0.30947957349607824,-1.3250553139543761,-0.5628659897771704,-1.9555555555555557,30.0,0.6681318681318658
2.1148931980133057,0.43340979201004964,0.2328908216983283,-0.3202032016350014,0.5372405372405371,30.0,1.0197802197802162;2.1148931980133057,-0.3442572815030127,-1.3841840238040746,-0.6408458042522887,-1.764102564102564,30.0,0.7384615384615358
2.1461448669433594,0.42377466707541606,0.24586099031052022,-0.29125308916044435,0.3731379731379736,30.0,0.879120879120876;2.1461448669433594,-0.3845368836794083,-1.4360646982528422,-0.7369969766630764,-1.5413919413919412,30.0,1.723076923076917
2.1773979663848877,0.41542043123284966,0.25616083009079205,-0.2417033495393087,0.28717948717948794,30.0,0.5978021978021957;2.1773979663848877,-0.42971916741705296,-1.4803158617532617,-0.8295397011208571,-1.2835164835164834,30.0,1.0901098901098862
2.2090349197387695,0.40858764920811613,0.2656977187762273,-0.1920237524737069,0.40830280830280863,30.0,-0.7384615384615358;2.2090349197387695,-0.4795741181617882,-1.5173189898527504,-0.9103378142991949,-1.0568986568986567,30.0,0.6681318681318658
2.2402865886688232,0.4031316526534618,0.2786678873884192,-0.1613352662550479,0.3731379731379736,30.0,-0.1758241758241752;2.2402865886688232,-0.5317967081702674,-1.5474555580987257,-0.9820254614339706,-0.8888888888888893,30.0,1.5120879120879067
2.271538496017456,0.39819977889868624,0.28896772716868924,-0.1595106637180577,0.27545787545787626,30.0,0.10549450549450512;2.271538496017456,-0.5856947634700337,-1.5722514686808573,-1.0565639188662101,-0.7091575091575093,30.0,0.7384615384615358
2.3034260272979736,0.39272004895640916,0.29392690928511556,-0.1891601356627067,0.0840048840048837,30.0,0.10549450549450512;2.3034260272979736,-0.6409300663735856,-1.5932326237888148,-1.1416704448027188,-0.5919413919413916,30.0,0.6681318681318658
2.3347675800323486,0.3859986126527642,0.2946898603799504,-0.24298001742183148,0.0019536019536019467,30.0,-0.1758241758241752;2.3347675800323486,-0.693882823046846,-1.6103990234225982,-1.2256049019585131,-0.5137973137973137,30.0,0.4571428571428555
2.366332769393921,0.3772821160648996,0.2946898603799504,-0.3104531738120627,-0.00586080586080584,30.0,-0.24615384615384528;2.366332769393921,-0.744233159501384,-1.626039520866712,-1.2845789508691228,-0.46300366300366314,30.0,-0.31648351648351536
2.3982043266296387,0.36627618139515994,0.2946898603799504,-0.3793422699559009,-0.00586080586080584,30.0,-0.4571428571428555;2.3982043266296387,-0.7903651355623244,-1.6393911650263213,-1.280707812546034,-0.4200244200244203,30.0,-2.0747252747252674
